locationId,locationName,facilityId,facilityName,facilityType,distanceKm
loc_3490,Valavanur,fh_49,Construction of Fishing Harbour at Thengaithittu,fishing_harbour,25.96
loc_3490,Valavanur,fh_50,Upgradation of Puducherry Fishing Harbour,fishing_harbour,26.96
loc_3490,Valavanur,fh_52,Up-gradation of Pazhayar Fishing Harbour,fishing_harbour,69.41
loc_3490,Valavanur,fh_57,Development of existing Fishing Harbour at Mudhunagar,fishing_harbour,29.54
loc_3490,Valavanur,fh_59,Construction of Fishing harbour at Azhagankuppam,fishing_harbour,35.41
loc_3491,Khapat,fh_11,3rd Stage of Mangarol Fishing Harbour,fishing_harbour,54.54
loc_3491,Khapat,fh_12,Development of Fishery Harbour at Navabandar,fishing_harbour,17.19
loc_3491,Khapat,fh_15,Development of Fishery Harbour Porbandar – Phase 2,fishing_harbour,1.59
loc_3497,Chanaje,fh_37,Modernisation of Sassoon Dock Fishing Harbour,fishing_harbour,14.45
loc_3497,Chanaje,fh_38,Karanja Fishing Harbour (Revised),fishing_harbour,5.42
loc_3497,Chanaje,fh_40,Construction of Fisheries Fishing Harbour at Jeevana,fishing_harbour,40.25
loc_3497,Chanaje,fh_41,Construction of Fisheries Fishing Harbour at Bharadkhol,fishing_harbour,84.72
loc_3497,Chanaje,port_00,Mumbai Port,port,13.65
loc_3497,Chanaje,port_01,Jawaharlal Nehru Port (JNPT),port,9.87
loc_3500,Karingal,fh_25,Expansion of Muthalapozhy Fishing Harbour,fishing_harbour,64.99
loc_3500,Karingal,fh_54,Maintenance Dredging of Colachel Fishing Harbour,fishing_harbour,6.32
